Open,High,Low,Close,Volume
1211801,1211900,1211800,1211800,2453
1211900,1212220,1211800,1212117,12869
1212400,1212600,1212390,1212600,1700
1212590,1212600,1212400,1212600,2203
1212500,1212580,1212400,1212401,4190
1212500,1212600,1212400,1212401,2388
1212590,1212600,1212500,1212500,5521
1212500,1212600,1212500,1212600,6214
1212425,1212430,1212400,1212420,9891
1212600,1212600,1212461,1212461,300
1212420,1212600,1212401,1212531,1714
1212401,1212599,1212400,1212599,350
1212457,1212600,1212200,1212200,8875
1212300,1212500,1212200,1212500,6379
1212500,1212550,1212499,1212550,627
1212599,1212600,1212500,1212600,2512
1212550,1212600,1212550,1212580,6262
1212580,1212600,1212580,1212600,554
1212501,1212600,1212501,1212600,666
1212700,1212700,1212600,1212700,2345
1212500,1212700,1212500,1212593,6729
1212580,1212699,1212501,1212699,4320
1212650,1212650,1212560,1212600,1000
1212601,1212655,1212601,1212655,117
1212700,1212700,1212700,1212700,2512
1212600,1212700,1212590,1212601,3944
1212601,1212700,1212600,1212600,3292
1212700,1212700,1212645,1212650,4640
1212650,1212700,1212650,1212700,700
1212625,1212950,1212600,1212950,16017
1212861,1213000,1212861,1212900,1267
1212858,1213000,1212858,1213000,4300
1213000,1213000,1212800,1212801,16982
1212900,1212900,1212700,1212700,6298
1212700,1212800,1212700,1212701,1023
1212700,1212800,1212700,1212800,195
1212790,1212900,1212790,1212900,9018
1212800,1212900,1212741,1212900,2045
1212700,1212750,1212600,1212600,10682
1212700,1212700,1212600,1212700,3320
1212600,1212700,1212500,1212700,6079
1212700,1212700,1212500,1212700,500
1212520,1212600,1212500,1212501,2700
1212501,1212600,1212500,1212500,1424
1212680,1212680,1212500,1212550,2858
1212500,1212600,1212500,1212525,1100
1212599,1212599,1212500,1212550,447
1212599,1212600,1212300,1212500,33220
1212500,1212550,1212500,1212500,5110
1212550,1212550,1212500,1212550,3432
1212550,1212600,1212500,1212500,10390
1212550,1212550,1212500,1212500,5663
1212500,1212550,1212500,1212500,4310
1212550,1212550,1212400,1212400,17866
1212400,1212500,1212300,1212300,1032
1212300,1212500,1212200,1212400,10469
1212500,1212500,1212300,1212500,7150
1212400,1212500,1212400,1212500,1420
1212600,1212600,1212501,1212501,26
1212500,1212600,1212400,1212599,6676
1212501,1212550,1212501,1212550,9576
1212600,1212601,1212600,1212601,3224
1212653,1212690,1212601,1212625,2037
1212700,1212900,1212690,1212900,2697
1212900,1213000,1212825,1213000,14727
1213000,1213000,1212800,1213000,4079
1213000,1213200,1212990,1212990,11825
1213169,1213899,1213169,1213899,12894
1213900,1213900,1213600,1213600,2347
